Creator	Title	Date	Material	Measurement	Culture	Inscription	Location	State or Edition	Work Rights	Image Rights	Record Creation Date	Record Modification Date	Work ID	Image ID	Technique	External Link	Text Reference	Style or Period1	Style or Period2	Style or Period3	Style or Period4	Style or Period5	Extended Title	Subject1	Subject2	Subject3	Subject4	Subject5	Subject6	Subject7	Subject8	Subject9	Subject10	General Subject	Work Description	Work Description Source	Image Description	Related Works	Image Source	Local Call Number	Order Number	Course Number and Instructor	Order Description	Creator Name1	Creator Name2	Creator Name3	Creator Name4	Creator Name5	Creator Name6	Creator Name7	Creator Name8	Alternate Creator Name1	Alternate Creator Name2	Alternate Creator Name3	Alternate Creator Name4	Alternate Creator Name5	Alternate Creator Name6	Alternate Creator Name7	Alternate Creator Name8	Image Classification Term	Object Type1	Object Type2	Object Type3	Object Type4	Object Type5
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136154				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	large portrait: Claudia McNeil, then clockwise: Oscar Brown, Ruby Dee, Dick Gregory, Cicely Tyson, and Sidney Poitier. Painted by Barbara Jones	Black Laws; related to	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136155				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc		Black Laws; related to	B. Solari, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136156				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	top: Sara Vaughn (photograph by Billy Abernathy), Eric Dolphy, John Coltrane, bottom: Max Roach, Miles Davis, Sonny Rollins, Charles Mingus, Elvin Jones, painted by Jeff Donalson and Elliot Hunter	Black Laws; related to	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136158				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136159				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	top left: LeRoi Jones/Amiri Baraka, photograph by Darryl Cowherd, bottom left: Gwendolyn Brooks and John O. Killens painted by Edward Christmas, large portrait with red background: Claudia McNeil, then clockwise: Oscar Brown, Ruby Dee, Ossie Davis, Dick Gregory, Cicely Tyson, and Sidney Poitier, painted by Barbara Jones	Black Laws; related to	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, overall view	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136160				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc		Black Laws; related to	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136161				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	W.E.B. Dubois, Gwendolyn Brooks, and John O. Killens, painted by Edward Christmas	Black Laws; related to	B. Solari, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136162				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	"Peace and Salvation" by William Walker, 1969, 3rd version	Black Laws; related to	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
Eddie Harris (American artist, active ca. 1960s)	Panel in Wall of Truth	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	70155	7136183				Western	Modern; 20th Century				Panel in Wall of Truth (cited, English, preferred)												Panel in the "Wall of Truth" mural by self-taught, neighborhood artist. 	Visual Resources Center; http://arthistory.uchicago.edu/vrc		Anonymous Poem on Wall of Truth; related to; Panel in Wall of Truth; related to; Wall of Truth; larger context for	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Harris, Eddie																painting	paintings; mural paintings				
unknown artist	Anonymous Poem on Wall of Truth, Fo-Trey	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	70152	7136184				Western	Modern; 20th Century				Anonymous Poem on Wall of Truth (cited, English, preferred)	African Americans -- Civil Rights	Poetry	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration	poems									Panel in Wall of Truth; related to; Wall of Truth; larger context for	Dave Garlovsky, original photography; For educational use only.		1023	Zorach		unknown																painting	paintings; mural paintings	information forms; poems			
Eddie Harris (American artist, active ca. 1960s)	Panel in Wall of Truth	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	70155	7136185				Western	Modern; 20th Century				Panel in Wall of Truth (cited, English, preferred)												Panel in the "Wall of Truth" mural by self-taught, neighborhood artist. 	Visual Resources Center; http://arthistory.uchicago.edu/vrc		Anonymous Poem on Wall of Truth; related to; Panel in Wall of Truth; related to; Wall of Truth; larger context for	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Harris, Eddie																painting	paintings; mural paintings				
Eddie Harris (American artist, active ca. 1960s)	Panel in Wall of Truth	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	70155	7136186				Western	Modern; 20th Century				Panel in Wall of Truth (cited, English, preferred)												Panel in the "Wall of Truth" mural by self-taught, neighborhood artist. 	Visual Resources Center; http://arthistory.uchicago.edu/vrc		Anonymous Poem on Wall of Truth; related to; Panel in Wall of Truth; related to; Wall of Truth; larger context for	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Harris, Eddie																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136187				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136188				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
Louis Boyd (American artist, active ca. 1960s)	Panel in Wall of Truth	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	70154	7136189				Western	Modern; 20th Century				Panel in Wall of Truth (cited, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration								Panel in the "Wall of Truth" mural by self-taught, neighborhood artist. 	Visual Resources Center; http://arthistory.uchicago.edu/vrc		Anonymous Poem on Wall of Truth; related to; Panel in Wall of Truth; related to; Wall of Truth; larger context for	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Boyd, Louis																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136190				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits			Black Unity	Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, overall	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136191				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136192				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Dave Garlovsky, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136193				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136194				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Dave Garlovsky, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, overall	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136195				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136196				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth, detail	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				9/13/2012	11/12/2014	56820	7136197				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits				Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Mark Rogovin, original photography; For educational use only.		1023	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect, detail	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				9/13/2012	11/12/2014	56815	7136198				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	1968, 2nd version	Black Laws; related to	B. Solari, original photography; For educational use only.		1023	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
